size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName,totalNodes,totalEdges
4,0.187863,0.0347123,0.0022912,0.146786,0.126928,0.0087502,0.00362468,0.00498319,0.000737667,34,facebook_combined.txt,4039,88234
4,0.185484,0.0318365,0.00231743,0.149615,0.128633,0.00859857,0.00430942,0.00553393,0.000762224,33,facebook_combined.txt,4039,88234
4,0.191185,0.0373349,0.00199318,0.150588,0.129481,0.00848222,0.00461435,0.00558758,0.000697851,36,facebook_combined.txt,4039,88234
4,0.180566,0.030746,0.00212479,0.145758,0.126053,0.0084815,0.00383902,0.005018,0.00070405,29,facebook_combined.txt,4039,88234
4,0.191753,0.0332687,0.00218439,0.155033,0.133743,0.0084691,0.00454354,0.00589061,0.000670433,37,facebook_combined.txt,4039,88234
8,0.12367,0.0355449,0.00289321,0.0827277,0.0618536,0.00265574,0.0076499,0.00835586,0.000411987,38,facebook_combined.txt,4039,88234
8,0.116966,0.0331147,0.00290465,0.0800524,0.0608802,0.00261831,0.00696301,0.00751376,0.000380993,34,facebook_combined.txt,4039,88234
8,0.119239,0.0310416,0.0026679,0.0842462,0.0627525,0.0025394,0.00807261,0.0088172,0.00038743,34,facebook_combined.txt,4039,88234
8,0.119356,0.0354362,0.00292182,0.0762877,0.058228,0.0026238,0.00635505,0.00704813,0.000299692,38,facebook_combined.txt,4039,88234
8,0.123627,0.0349274,0.00297308,0.0817232,0.0611341,0.00256038,0.00767875,0.00833964,0.000334024,30,facebook_combined.txt,4039,88234
16,0.109259,0.0351572,0.00354838,0.067312,0.0427623,0.000976086,0.0116532,0.0101533,0.000191212,31,facebook_combined.txt,4039,88234
16,0.10711,0.0344436,0.00370812,0.0682778,0.0435972,0.000981092,0.0116346,0.0103388,0.000149727,35,facebook_combined.txt,4039,88234
16,0.132904,0.0352345,0.0033958,0.0778699,0.0465994,0.00104904,0.0151913,0.0130575,0.000232935,33,facebook_combined.txt,4039,88234
16,0.107783,0.034024,0.00350046,0.0694933,0.0439231,0.0010097,0.0120137,0.0107102,0.000200748,34,facebook_combined.txt,4039,88234
16,0.104743,0.0335896,0.00344157,0.0667977,0.0426543,0.000948668,0.0115347,0.00987101,0.000158787,38,facebook_combined.txt,4039,88234
32,0.125253,0.0354006,0.00518084,0.0830381,0.0422399,0.000502825,0.0220582,0.0166004,8.24928e-05,32,facebook_combined.txt,4039,88234
32,0.125919,0.0374644,0.00497723,0.0819187,0.0411527,0.000483036,0.0223644,0.0162759,9.20296e-05,32,facebook_combined.txt,4039,88234
32,0.120939,0.0346184,0.00515604,0.0802977,0.0408232,0.000481606,0.0212667,0.0161114,7.60555e-05,36,facebook_combined.txt,4039,88234
32,0.122048,0.0344334,0.00484276,0.0821056,0.0411925,0.000503063,0.0221596,0.0165849,8.91685e-05,29,facebook_combined.txt,4039,88234
32,0.128773,0.0344644,0.00501943,0.088769,0.0435741,0.000498772,0.0244293,0.0186088,9.01222e-05,34,facebook_combined.txt,4039,88234
64,0.204007,0.0398142,0.00795841,0.151846,0.0594876,0.00031662,0.0547636,0.0354605,5.57899e-05,34,facebook_combined.txt,4039,88234
64,0.180299,0.0406778,0.00834918,0.129775,0.0532007,0.000306606,0.0451953,0.0294073,4.24385e-05,35,facebook_combined.txt,4039,88234
64,0.190707,0.0419803,0.00849175,0.136496,0.0541096,0.000316858,0.050055,0.0302305,4.52995e-05,31,facebook_combined.txt,4039,88234
64,0.181888,0.0389698,0.00846052,0.133835,0.0527716,0.000380278,0.0449333,0.0340116,4.07696e-05,36,facebook_combined.txt,4039,88234
64,0.204811,0.0345268,0.00794721,0.161165,0.0658681,0.000276566,0.0585978,0.0348153,4.48227e-05,32,facebook_combined.txt,4039,88234
1,3.20003,0.0377238,0.00129986,3.15518,2.15179,0.927124,0.000948906,0.0120623,0.042021,1224,Wiki-Vote.txt,7115,103689
1,2.93527,0.0402033,0.00105238,2.8863,2.06817,0.765807,0.000652075,0.00797868,0.0293801,1223,Wiki-Vote.txt,7115,103689
1,3.00316,0.0376754,0.00129199,2.95927,2.09082,0.809062,0.000730753,0.00915289,0.0331163,1227,Wiki-Vote.txt,7115,103689
2,1.22974,0.0367489,0.00248313,1.18778,0.900678,0.203051,0.00702119,0.0451117,0.0175178,1224,Wiki-Vote.txt,7115,103689
2,1.14079,0.037128,0.0023489,1.09843,0.866704,0.17505,0.00603414,0.0274272,0.013062,1223,Wiki-Vote.txt,7115,103689
2,1.23916,0.0381851,0.00241327,1.19155,0.887171,0.209787,0.00909448,0.0507369,0.0192947,1219,Wiki-Vote.txt,7115,103689
2,1.23325,0.0376425,0.00224996,1.18963,0.893103,0.206441,0.00774431,0.0484161,0.0189857,1223,Wiki-Vote.txt,7115,103689
2,1.16148,0.0368967,0.00233483,1.11963,0.874161,0.17887,0.00711656,0.0339689,0.0146227,1225,Wiki-Vote.txt,7115,103689
4,0.426256,0.0373363,0.00282717,0.382543,0.292372,0.0444303,0.00450158,0.0261447,0.00647759,1229,Wiki-Vote.txt,7115,103689
