size,totalTime,partitionTime,detectionTime,foundCommunities,fileName
2,4.83376,0.0687027,4.76505,1226,Wiki-Vote.txt
2,5.07205,0.0667551,5.0053,1222,Wiki-Vote.txt
2,4.96271,0.0680387,4.89467,1224,Wiki-Vote.txt
2,4.71188,0.0661776,4.64571,1225,Wiki-Vote.txt
2,4.68858,0.0659332,4.62265,1228,Wiki-Vote.txt
2,5.22059,0.0691257,5.15146,1219,Wiki-Vote.txt
2,5.20996,0.0719304,5.13803,1223,Wiki-Vote.txt
2,4.62838,0.0678136,4.56056,1226,Wiki-Vote.txt
4,1.90279,0.0678916,1.8349,1227,Wiki-Vote.txt
4,1.85041,0.0657279,1.78468,1225,Wiki-Vote.txt
4,2.15343,0.0694654,2.08397,1229,Wiki-Vote.txt
4,1.92718,0.0674765,1.85971,1233,Wiki-Vote.txt
4,1.86592,0.0694096,1.79651,1232,Wiki-Vote.txt
4,1.8904,0.0659688,1.82443,1230,Wiki-Vote.txt
4,1.90641,0.071137,1.83527,1234,Wiki-Vote.txt
4,1.84805,0.0685761,1.77948,1230,Wiki-Vote.txt
4,1.84326,0.0658884,1.77738,1224,Wiki-Vote.txt
4,1.84549,0.0694034,1.77609,1225,Wiki-Vote.txt
8,0.974241,0.0761418,0.898099,1241,Wiki-Vote.txt
8,0.96622,0.0680754,0.898144,1231,Wiki-Vote.txt
8,1.08544,0.0730395,1.0124,1231,Wiki-Vote.txt
8,0.917031,0.0712223,0.845809,1232,Wiki-Vote.txt
8,1.03239,0.0700288,0.962359,1226,Wiki-Vote.txt
8,0.935519,0.0712879,0.864231,1234,Wiki-Vote.txt
8,1.01834,0.0718606,0.946483,1227,Wiki-Vote.txt
8,0.985987,0.0700932,0.915894,1228,Wiki-Vote.txt
8,0.946267,0.0721517,0.874115,1236,Wiki-Vote.txt
8,0.932701,0.0724027,0.860298,1232,Wiki-Vote.txt
16,0.988514,0.0688298,0.919685,1234,Wiki-Vote.txt
16,0.66776,0.0706539,0.597106,1242,Wiki-Vote.txt
16,0.892788,0.0688515,0.823936,1230,Wiki-Vote.txt
16,0.638826,0.0690582,0.569768,1247,Wiki-Vote.txt
16,0.749633,0.0699813,0.679652,1232,Wiki-Vote.txt
16,0.744119,0.0691617,0.674958,1235,Wiki-Vote.txt
16,0.727123,0.0687654,0.658357,1227,Wiki-Vote.txt
16,0.749216,0.0702498,0.678967,1241,Wiki-Vote.txt
16,0.660689,0.070024,0.590665,1240,Wiki-Vote.txt
16,0.682094,0.0687845,0.613309,1234,Wiki-Vote.txt
32,0.702803,0.0716019,0.631202,1238,Wiki-Vote.txt
32,0.710695,0.0694249,0.64127,1230,Wiki-Vote.txt
32,0.677909,0.0848215,0.593087,1238,Wiki-Vote.txt
32,0.710903,0.0701263,0.640776,1237,Wiki-Vote.txt
32,0.743818,0.0693736,0.674444,1238,Wiki-Vote.txt
32,0.713944,0.0747497,0.639195,1239,Wiki-Vote.txt
32,0.764481,0.0697031,0.694778,1235,Wiki-Vote.txt
32,0.788322,0.0700822,0.71824,1244,Wiki-Vote.txt
32,0.723955,0.0694985,0.654456,1238,Wiki-Vote.txt
32,0.772741,0.0693047,0.703436,1234,Wiki-Vote.txt
64,0.924154,0.0782213,0.845933,1236,Wiki-Vote.txt
64,0.906783,0.0801227,0.826661,1234,Wiki-Vote.txt
64,0.937372,0.0847158,0.852656,1242,Wiki-Vote.txt
64,0.843671,0.0879285,0.755743,1238,Wiki-Vote.txt
64,0.837931,0.0845423,0.753388,1235,Wiki-Vote.txt
64,0.885478,0.0873179,0.79816,1227,Wiki-Vote.txt
64,1.18869,0.0881605,1.10053,1230,Wiki-Vote.txt
64,0.907588,0.0872138,0.820375,1230,Wiki-Vote.txt
64,0.966366,0.084656,0.88171,1238,Wiki-Vote.txt
64,0.856767,0.0905972,0.76617,1236,Wiki-Vote.txt
