size,totalTime,partitionTime,stepTime,detectionTime,foundCommunities,fileName
1,4.53161,0.0668392,0,4.46477,37,facebook_combined.txt
2,1.82276,0.0694935,0,1.75326,34,facebook_combined.txt
2,1.83862,0.0711141,0,1.7675,36,facebook_combined.txt
2,1.83286,0.0720437,0,1.76082,33,facebook_combined.txt
2,1.8374,0.0703831,0,1.76702,32,facebook_combined.txt
2,1.83535,0.0705521,0,1.7648,34,facebook_combined.txt
2,1.85815,0.0681386,0,1.79001,35,facebook_combined.txt
2,1.82567,0.0674691,0,1.7582,33,facebook_combined.txt
2,1.84996,0.0663171,0,1.78364,34,facebook_combined.txt
2,1.85533,0.0772882,0,1.77805,35,facebook_combined.txt
2,1.8276,0.0709381,0,1.75666,35,facebook_combined.txt
4,0.795255,0.071403,0,0.723852,35,facebook_combined.txt
4,0.781375,0.0653617,0,0.716013,38,facebook_combined.txt
4,0.795471,0.0699739,0,0.725497,36,facebook_combined.txt
4,0.790169,0.0677187,0,0.72245,34,facebook_combined.txt
4,0.79417,0.0713336,0,0.722836,32,facebook_combined.txt
4,0.798601,0.0743704,0,0.724231,33,facebook_combined.txt
4,0.780628,0.06639,0,0.714238,33,facebook_combined.txt
4,0.788178,0.0678465,0,0.720332,39,facebook_combined.txt
4,0.78461,0.0676868,0,0.716923,37,facebook_combined.txt
4,0.798568,0.0687211,0,0.729847,36,facebook_combined.txt
8,0.418324,0.0700145,0,0.34831,36,facebook_combined.txt
8,0.409256,0.0700498,0,0.339206,32,facebook_combined.txt
8,0.398596,0.0680354,0,0.33056,42,facebook_combined.txt
8,0.405858,0.0670853,0,0.338772,31,facebook_combined.txt
8,0.391491,0.0695746,0,0.321916,35,facebook_combined.txt
8,0.411701,0.0723116,0,0.339389,32,facebook_combined.txt
8,0.41699,0.0710435,0,0.345946,36,facebook_combined.txt
8,0.412791,0.0736604,0,0.339131,34,facebook_combined.txt
8,0.416104,0.0731401,0,0.342964,34,facebook_combined.txt
8,0.403688,0.0705845,0,0.333104,39,facebook_combined.txt
16,0.305859,0.0705652,0,0.235293,29,facebook_combined.txt
16,0.306688,0.0715768,0,0.235111,29,facebook_combined.txt
16,0.293809,0.0709114,0,0.222898,31,facebook_combined.txt
16,0.322755,0.0857182,0,0.237036,35,facebook_combined.txt
16,0.29005,0.0700996,0,0.21995,32,facebook_combined.txt
16,0.296983,0.0759842,0,0.220999,34,facebook_combined.txt
16,0.318673,0.07375,0,0.244923,34,facebook_combined.txt
16,0.295308,0.0694973,0,0.22581,34,facebook_combined.txt
16,0.295055,0.0713787,0,0.223676,35,facebook_combined.txt
16,0.300779,0.0705926,0,0.230186,33,facebook_combined.txt
32,0.309892,0.0741227,0,0.23577,35,facebook_combined.txt
32,0.289696,0.0708525,0,0.218843,27,facebook_combined.txt
32,0.307195,0.0747995,0,0.232395,34,facebook_combined.txt
32,0.299151,0.074475,0,0.224676,32,facebook_combined.txt
32,0.302837,0.0732183,0,0.229619,33,facebook_combined.txt
32,0.29927,0.0730042,0,0.226266,33,facebook_combined.txt
32,0.296445,0.0717537,0,0.224691,31,facebook_combined.txt
32,0.303083,0.0752606,0,0.227822,37,facebook_combined.txt
32,0.298489,0.072305,0,0.226184,34,facebook_combined.txt
32,0.308583,0.0702503,0,0.238333,32,facebook_combined.txt
64,2.37842,0.240844,0,2.13758,30,facebook_combined.txt
64,3.36752,0.0886526,0,3.27887,39,facebook_combined.txt
64,2.00538,0.0962505,0,1.90913,35,facebook_combined.txt
64,1.22087,0.117553,0,1.10332,36,facebook_combined.txt
64,2.61599,0.159491,0,2.4565,33,facebook_combined.txt
64,6.34939,0.638695,0,5.7107,37,facebook_combined.txt
64,5.78764,0.686532,0,5.10111,30,facebook_combined.txt
64,9.15342,0.30936,0,8.84406,33,facebook_combined.txt
64,2.54845,0.586482,0,1.96197,29,facebook_combined.txt
64,4.72498,0.466764,0,4.25821,28,facebook_combined.txt
1,13.8506,0.0781579,0,13.7725,1225,Wiki-Vote.txt
1,12.3744,0.0776744,0,12.2967,1229,Wiki-Vote.txt
1,12.3932,0.0813119,0,12.3119,1227,Wiki-Vote.txt
2,5.81768,0.0788193,0,5.73886,1223,Wiki-Vote.txt
2,5.09084,0.0804272,0,5.01042,1223,Wiki-Vote.txt
2,5.18481,0.0824599,0,5.10235,1224,Wiki-Vote.txt
2,5.50939,0.0829909,0,5.4264,1223,Wiki-Vote.txt
2,5.41798,0.0792656,0,5.33871,1217,Wiki-Vote.txt
2,5.16043,0.0800593,0,5.08037,1225,Wiki-Vote.txt
2,5.43853,0.0789139,0,5.35962,1219,Wiki-Vote.txt
2,5.49967,0.0791538,0,5.42052,1228,Wiki-Vote.txt
2,5.16413,0.0802763,0,5.08385,1226,Wiki-Vote.txt
2,5.33231,0.0781147,0,5.2542,1225,Wiki-Vote.txt
4,1.9836,0.0838447,0,1.89976,1228,Wiki-Vote.txt
4,2.03533,0.080374,0,1.95496,1226,Wiki-Vote.txt
4,2.09101,0.0792794,0,2.01173,1230,Wiki-Vote.txt
4,2.34914,0.0807836,0,2.26835,1230,Wiki-Vote.txt
4,1.9492,0.0821781,0,1.86702,1228,Wiki-Vote.txt
4,2.22169,0.0913937,0,2.1303,1233,Wiki-Vote.txt
4,2.16079,0.0794735,0,2.08132,1225,Wiki-Vote.txt
4,2.08503,0.0817966,0,2.00324,1226,Wiki-Vote.txt
4,1.97934,0.0813971,0,1.89795,1232,Wiki-Vote.txt
4,2.26627,0.0820227,0,2.18425,1227,Wiki-Vote.txt
8,1.18207,0.0999944,0,1.08208,1233,Wiki-Vote.txt
8,1.0551,0.0834272,0,0.971675,1240,Wiki-Vote.txt
8,1.20112,0.0827558,0,1.11836,1238,Wiki-Vote.txt
8,1.14974,0.0816073,0,1.06813,1229,Wiki-Vote.txt
8,1.01833,0.081722,0,0.936604,1235,Wiki-Vote.txt
8,1.06289,0.0816488,0,0.981237,1231,Wiki-Vote.txt
8,1.1243,0.0774593,0,1.04685,1230,Wiki-Vote.txt
8,1.0821,0.0814281,0,1.00067,1237,Wiki-Vote.txt
8,1.18565,0.0796418,0,1.106,1230,Wiki-Vote.txt
8,1.05421,0.0781963,0,0.976014,1233,Wiki-Vote.txt
16,0.714258,0.0803957,0,0.633863,1239,Wiki-Vote.txt
16,0.821126,0.0817142,0,0.739412,1237,Wiki-Vote.txt
16,0.856861,0.0789206,0,0.77794,1237,Wiki-Vote.txt
16,0.747775,0.082793,0,0.664982,1238,Wiki-Vote.txt
16,0.73851,0.082217,0,0.656293,1234,Wiki-Vote.txt
16,0.814633,0.0795748,0,0.735058,1233,Wiki-Vote.txt
16,0.796273,0.0837886,0,0.712484,1227,Wiki-Vote.txt
16,0.892914,0.0814049,0,0.811509,1234,Wiki-Vote.txt
16,0.795945,0.0817657,0,0.71418,1236,Wiki-Vote.txt
16,0.701229,0.0867956,0,0.614433,1237,Wiki-Vote.txt
32,0.670223,0.082222,0,0.588001,1231,Wiki-Vote.txt
32,0.793705,0.0810196,0,0.712686,1232,Wiki-Vote.txt
32,0.840076,0.0858896,0,0.754187,1237,Wiki-Vote.txt
32,0.825235,0.0842988,0,0.740936,1234,Wiki-Vote.txt
32,0.768,0.0837898,0,0.684211,1234,Wiki-Vote.txt
32,0.806304,0.0794003,0,0.726903,1233,Wiki-Vote.txt
32,0.73863,0.081738,0,0.656892,1234,Wiki-Vote.txt
32,0.706217,0.0792124,0,0.627004,1238,Wiki-Vote.txt
32,0.726532,0.0835531,0,0.642978,1234,Wiki-Vote.txt
32,0.696065,0.0794632,0,0.616602,1232,Wiki-Vote.txt
64,1.12945,0.237519,0,0.891933,1241,Wiki-Vote.txt
64,4.80691,0.0920846,0,4.71482,1232,Wiki-Vote.txt
64,2.12332,0.202505,0,1.92082,1238,Wiki-Vote.txt
64,0.864263,0.0914266,0,0.772836,1230,Wiki-Vote.txt
64,3.97094,0.580682,0,3.39025,1228,Wiki-Vote.txt
64,4.20484,0.612789,0,3.59205,1236,Wiki-Vote.txt
64,2.75065,0.203535,0,2.54712,1235,Wiki-Vote.txt
64,3.32842,0.350576,0,2.97784,1238,Wiki-Vote.txt
64,1.11273,0.327838,0,0.784895,1236,Wiki-Vote.txt
64,7.65229,0.106813,0,7.54547,1232,Wiki-Vote.txt
